outlet,average_polarity
Mint,0.05628188775510204
TheHindu,0.0607354304619113
IndianExpress,0.08504653029105964
NDTV,0.09087939455082031
TimesOfIndia,0.10925172074208812
NewsLaundry,0.1256590477693796
HindusanTimes,0.13095942152186152
Republic,0.14323877876509455
BusinessStandard,0.18
