word,count
दलल,801
कजरवल,650
परट,547
बजप,473
चनव,453
अरवद,445
कगरस,389
आदम,366
सरकर,254
मखयमतर,229
advertisement,224
उनक,223
करन,220
अपन,207
लकन,191
सकत,186
पहल,169
वधनसभ,166
political,158
politics,149
करत,145
तरह,141
जनत,131
सएम,130
बनन,112
बहत,105
आरप,104
आतश,97
अगर,96
india,93
